# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  147       6.541950453840e-10       1.675229615872e-13      -6.890212663037e-12       6.174256067769e-16       2.358879421158e-12       6.649047988076e-13      -4.233122306941e-15 
  148       6.595263516698e-10       1.676230291418e-13      -6.929814582392e-12       6.266157649092e-16       2.310816229195e-12       6.559974583782e-13      -4.172547321365e-15 
  149       6.648442108878e-10       1.676590760080e-13      -6.966647483887e-12       6.358983257675e-16       2.264041548436e-12       6.472591347346e-13      -4.112233064488e-15 
  150       6.701472080312e-10       1.676312864569e-13      -7.000653598395e-12       6.452741562200e-16       2.218482145320e-12       6.386845564522e-13      -4.052283469908e-15 
  151       6.754338675647e-10       1.675399192694e-13      -7.031775984852e-12       6.547441348774e-16       2.174056827998e-12       6.302674761198e-13      -3.992804791670e-15 
  152       6.807026522194e-10       1.673853091524e-13      -7.059958561193e-12       6.643091521604e-16       2.130676285780e-12       6.220006489081e-13      -3.933905615438e-15 
  153       6.859520754455e-10       1.671678819951e-13      -7.085146671126e-12       6.739700430496e-16       2.088261271755e-12       6.138773476884e-13      -3.875674141423e-15 
  154       6.911810530680e-10       1.668881992546e-13      -7.107288778562e-12       6.837273781628e-16       2.046799389958e-12       6.058961119364e-13      -3.818107634020e-15 
  155       6.963885821665e-10       1.665469204147e-13      -7.126334990392e-12       6.935816532991e-16       2.006293304307e-12       5.980564013713e-13      -3.761176406197e-15 
  156       7.015736297327e-10       1.661447909900e-13      -7.142236568223e-12       7.035333547375e-16       1.966742803214e-12       5.903570855799e-13      -3.704845854734e-15 
  157       7.067351320437e-10       1.656826440127e-13      -7.154945962047e-12       7.135829589618e-16       1.928144732461e-12       5.827964304117e-13      -3.649076355637e-15 
  158       7.118719940354e-10       1.651614015190e-13      -7.164416843924e-12       7.237309323850e-16       1.890492928076e-12       5.753720843723e-13      -3.593823159558e-15 
  159       7.169830886759e-10       1.645820760357e-13      -7.170604141651e-12       7.339777310732e-16       1.853778149209e-12       5.680810650187e-13      -3.539036287205e-15 
