# l   Dl_TT   Dl_TE   Dl_EE
1.610000000000000000e+02 6.181928143534141782e+02 -5.050986332101974341e+00 1.154243525618044025e-01
1.620000000000000000e+02 6.216063162072226760e+02 -4.972975053200896944e+00 1.138446130956853874e-01
1.630000000000000000e+02 6.249600578627465666e+02 -4.890950559160771149e+00 1.122636140119709636e-01
1.640000000000000000e+02 6.282529093346383888e+02 -4.804916089567616844e+00 1.106852889441128640e-01
1.650000000000000000e+02 6.314837352677618583e+02 -4.714877847957279933e+00 1.091137102211122700e-01
1.660000000000000000e+02 6.346513948682973023e+02 -4.620845053015585790e+00 1.075530905316369190e-01
1.670000000000000000e+02 6.377547418348481187e+02 -4.522829989778514914e+00 1.060077845881387398e-01
1.680000000000000000e+02 6.407926242895451878e+02 -4.420848060832358151e+00 1.044822907909708776e-01
1.690000000000000000e+02 6.437638847091531034e+02 -4.314917837513885246e+00 1.029812528925051485e-01
1.700000000000000000e+02 6.466673598561760627e+02 -4.205061111110508065e+00 1.015094616612493006e-01
1.710000000000000000e+02 6.495018807099625064e+02 -4.091302944060443814e+00 1.000718565459643439e-01
1.720000000000000000e+02 6.522662723978114627e+02 -3.973671721152881364e+00 9.867352733978179691e-02
1.730000000000000000e+02 6.549593541260778693e+02 -3.852199200728139594e+00 9.731971584432105860e-02
1.740000000000000000e+02 6.575799391112780086e+02 -3.726920565877838154e+00 9.601581753380666884e-02
1.750000000000000000e+02 6.601268345111955114e+02 -3.597874475645057579e+00 9.476738321918568020e-02
1.760000000000000000e+02 6.625988413559861101e+02 -3.465103116224504287e+00 9.358012071224484918e-02
1.770000000000000000e+02 6.649947544792844383e+02 -3.328652252162675573e+00 9.245989648972809116e-02
1.780000000000000000e+02 6.673133624493085563e+02 -3.188571277558021944e+00 9.141273735745361617e-02
1.790000000000000000e+02 6.695534474999651593e+02 -3.044913267261109002e+00 9.044483211443134218e-02
1.800000000000000000e+02 6.717138703928961831e+02 -2.897732002338648805e+00 8.956225046498396403e-02
1.810000000000000000e+02 6.737938326908168847e+02 -2.747072675110908246e+00 8.877007129336475511e-02
1.820000000000000000e+02 6.757926352480534433e+02 -2.592980541875202327e+00 8.807318813156989057e-02
1.830000000000000000e+02 6.777095953952433547e+02 -2.435503922016323042e+00 8.747658630270276070e-02
1.840000000000000000e+02 6.795440471832629328e+02 -2.274694238062195506e+00 8.698534354364760579e-02
1.850000000000000000e+02 6.812953416271536753e+02 -2.110606055739519871e+00 8.660463062774280407e-02
1.860000000000000000e+02 6.829628469500486290e+02 -1.943297124029416567e+00 8.633971198745445108e-02
1.870000000000000000e+02 6.845459488270992097e+02 -1.772828415223081766e+00 8.619594633704975861e-02
1.880000000000000000e+02 6.860440506294023635e+02 -1.599264164977429736e+00 8.617878729527077286e-02
1.890000000000000000e+02 6.874565736679267047e+02 -1.422671912370741865e+00 8.629378400800755133e-02
1.900000000000000000e+02 6.887829574374396771e+02 -1.243122539958315897e+00 8.654658177097189486e-02
1.910000000000000000e+02 6.900226598604341461e+02 -1.060690313828112741e+00 8.694292265237076045e-02
1.920000000000000000e+02 6.911751575310547651e+02 -8.754529236564030370e-01 8.748864611557971571e-02
1.930000000000000000e+02 6.922399459590254764e+02 -6.874915227634176285e-01 8.818968964181643500e-02
1.940000000000000000e+02 6.932165398135748546e+02 -4.968907681689926359e-01 8.905208935281419547e-02
1.950000000000000000e+02 6.941044731673647448e+02 -3.037388606482207543e-01 9.008198063349541485e-02
