# l   cl_TT   cl_TE   cl_EE
2.640000000000000000e+02 6.089534127106105643e+02 1.126460185951912152e+01 5.436214161514758558e-01
2.650000000000000000e+02 6.055215376962809160e+02 1.142236007573274748e+01 5.594545035466389482e-01
2.660000000000000000e+02 6.020419609126340674e+02 1.157694810497950755e+01 5.755558736179519075e-01
2.670000000000000000e+02 5.985159847020136112e+02 1.172828405784486883e+01 5.919227563657674107e-01
2.680000000000000000e+02 5.949449423955550174e+02 1.187628573084845840e+01 6.085522304369009872e-01
2.690000000000000000e+02 5.913301985134811503e+02 1.202087061074148444e+01 6.254412215930986729e-01
2.700000000000000000e+02 5.876731489654007419e+02 1.216195587880416085e+01 6.425865011795039994e-01
2.710000000000000000e+02 5.839752212506049318e+02 1.229945841514311589e+01 6.599846845931243156e-01
2.720000000000000000e+02 5.802378746583640350e+02 1.243329480298881684e+01 6.776322297512975545e-01
2.730000000000000000e+02 5.764626004682262419e+02 1.256338133299299464e+01 6.955254355601604432e-01
2.740000000000000000e+02 5.726509221503131357e+02 1.268963400752606319e+01 7.136604403831148247e-01
2.750000000000000000e+02 5.688043955656174830e+02 1.281196854497453330e+01 7.320332205092939803e-01
2.760000000000000000e+02 5.649246091663010247e+02 1.293030038403843918e+01 7.506395886220305069e-01
2.770000000000000000e+02 5.610131841959903340e+02 1.304454468802876477e+01 7.694751922673229716e-01
2.780000000000000000e+02 5.570717748900755169e+02 1.315461634916483646e+01 7.885355123223024565e-01
2.790000000000000000e+02 5.531019733814158599e+02 1.326043751423884842e+01 8.078158744711461114e-01
2.800000000000000000e+02 5.491050185519420666e+02 1.336196058434729039e+01 8.273114874418251441e-01
2.810000000000000000e+02 5.450820724872396568e+02 1.345914641511885002e+01 8.470174037666341471e-01
2.820000000000000000e+02 5.410343144661425185e+02 1.355195691845388595e+01 8.669285054486831621e-01
2.830000000000000000e+02 5.369629410146483224e+02 1.364035507837539640e+01 8.870395024503422432e-01
2.840000000000000000e+02 5.328691659598343904e+02 1.372430496687997703e+01 9.073449311816913498e-01
2.850000000000000000e+02 5.287542204837727695e+02 1.380377175978885163e+01 9.278391529889674638e-01
