# l   cl_TT   cl_TE   cl_EE
1.490000000000000000e+02 5.896282170570809740e+02 -6.089300334145748117e+00 1.429063152979724860e-01
1.500000000000000000e+02 5.941309534151981779e+02 -6.111166981554175592e+00 1.427236088273984571e-01
1.510000000000000000e+02 5.986155087148991925e+02 -6.130326532649478466e+00 1.424857117487322855e-01
1.520000000000000000e+02 6.030808229632309576e+02 -6.146734627161964504e+00 1.421932022944347729e-01
1.530000000000000000e+02 6.075257965196627765e+02 -6.160348001401145801e+00 1.418467371717110903e-01
1.540000000000000000e+02 6.119492892770875869e+02 -6.171124520316557671e+00 1.414470529469033788e-01
1.550000000000000000e+02 6.163501198428241423e+02 -6.179023209558582863e+00 1.409949674298833222e-01
1.560000000000000000e+02 6.207270647196182836e+02 -6.184004287539267786e+00 1.404913810584446920e-01
1.570000000000000000e+02 6.250788574866448926e+02 -6.186029197493150278e+00 1.399372782826961703e-01
1.580000000000000000e+02 6.294041879805080271e+02 -6.185060639538077609e+00 1.393337289494536446e-01
1.590000000000000000e+02 6.337017014762445797e+02 -6.181062602736032474e+00 1.386818896866329753e-01
1.600000000000000000e+02 6.379699978683244126e+02 -6.174000397153946551e+00 1.379830052876425683e-01
1.610000000000000000e+02 6.422077311113627047e+02 -6.163840732774142239e+00 1.372383939799871611e-01
1.620000000000000000e+02 6.464139191439506931e+02 -6.150551896759837156e+00 1.364493988607251851e-01
1.630000000000000000e+02 6.505876599345740487e+02 -6.134103653211896656e+00 1.356174347921154655e-01
1.640000000000000000e+02 6.547280333320474028e+02 -6.114467229748782984e+00 1.347440054309672897e-01
1.650000000000000000e+02 6.588341007077978020e+02 -6.091615349782921740e+00 1.338307045388859862e-01
1.660000000000000000e+02 6.629049045981483914e+02 -6.065522264797078122e+00 1.328792172925190584e-01
1.670000000000000000e+02 6.669394683466030074e+02 -6.036163786620722504e+00 1.318913215938017913e-01
1.680000000000000000e+02 6.709367957461291780e+02 -6.003517319706408450e+00 1.308688893802032738e-01
1.690000000000000000e+02 6.748958706814421475e+02 -5.967561893406134743e+00 1.298138879349723662e-01
1.700000000000000000e+02 6.788156567712899232e+02 -5.928278194247723398e+00 1.287283811973834180e-01
1.710000000000000000e+02 6.826950970107351395e+02 -5.885648598211187021e+00 1.276145310729820959e-01
1.720000000000000000e+02 6.865331134134406739e+02 -5.839657203005103270e+00 1.264745987438315455e-01
1.730000000000000000e+02 6.903286066539526473e+02 -5.790289860342978656e+00 1.253109459787579982e-01
1.740000000000000000e+02 6.940804557099842214e+02 -5.737534208219626564e+00 1.241260364435966962e-01
1.750000000000000000e+02 6.977875175047005314e+02 -5.681379703187536379e+00 1.229224370114378739e-01
1.760000000000000000e+02 7.014486265490005508e+02 -5.621817652633239959e+00 1.217028190728724896e-01
1.770000000000000000e+02 7.050625945838037296e+02 -5.558841247053689649e+00 1.204699598462383447e-01
1.780000000000000000e+02 7.086282102223310631e+02 -5.492445592332624749e+00 1.192267436878656078e-01
1.790000000000000000e+02 7.121442385923900247e+02 -5.422627742016939756e+00 1.179761634023229200e-01
1.800000000000000000e+02 7.156095017398763503e+02 -5.349385953805771088e+00 1.167212340244693641e-01
1.810000000000000000e+02 7.190231277334808055e+02 -5.272717325506121711e+00 1.154647237648342567e-01
1.820000000000000000e+02 7.223843207200384313e+02 -5.192620032707239375e+00 1.142094041438739688e-01
1.830000000000000000e+02 7.256922818828783193e+02 -5.109094116890033455e+00 1.129581365790724989e-01
1.840000000000000000e+02 7.289462093815718617e+02 -5.022141514846021337e+00 1.117138733728001987e-01
1.850000000000000000e+02 7.321452982916796373e+02 -4.931766088096297906e+00 1.104796587001720121e-01
1.860000000000000000e+02 7.352887405444969318e+02 -4.837973652310488148e+00 1.092586295969058263e-01
1.870000000000000000e+02 7.383757248668017610e+02 -4.740772006725705978e+00 1.080540169471810447e-01
1.880000000000000000e+02 7.414054367206015286e+02 -4.640170963565520168e+00 1.068691464714969647e-01
